block	trial	Vstim	Astim	match	C/I	resp	.result	RT	fb	V-file	A-file
RL

0	1	1	2	0	C	1	0	1289	0	Ⴉ	cut_oo_stereo_44KHz.wav
0	2	2	3	1	C	1	1	848	1	Ⴞ	cut_ee_stereo_44KHz.wav
0	3	2	4	0	C	1	0	1314	0	Ⴞ	cut_eeuw_stereo_44KHz.wav
0	4	1	1	1	C	1	1	1010	1	Ⴉ	cut_g_stereo_44KHz.wav
0	5	1	2	0	C	2	1	611	1	Ⴉ	cut_oo_stereo_44KHz.wav
0	6	1	1	1	C	1	1	787	1	Ⴉ	cut_g_stereo_44KHz.wav
0	7	2	4	0	C	2	1	737	1	Ⴞ	cut_eeuw_stereo_44KHz.wav
0	8	2	3	1	C	1	1	707	1	Ⴞ	cut_ee_stereo_44KHz.wav
0	9	1	1	1	C	2	0	817	0	Ⴉ	cut_g_stereo_44KHz.wav
0	10	2	3	1	C	1	1	1111	1	Ⴞ	cut_ee_stereo_44KHz.wav
0	11	1	2	0	C	2	1	727	1	Ⴉ	cut_oo_stereo_44KHz.wav
0	12	2	4	0	C	1	0	502	0	Ⴞ	cut_eeuw_stereo_44KHz.wav
0	13	1	1	1	C	1	1	1142	1	Ⴉ	cut_g_stereo_44KHz.wav
0	14	2	3	1	C	1	1	837	1	Ⴞ	cut_ee_stereo_44KHz.wav
0	15	2	4	0	C	2	1	824	1	Ⴞ	cut_eeuw_stereo_44KHz.wav
0	16	1	2	0	C	2	1	629	1	Ⴉ	cut_oo_stereo_44KHz.wav
0	17	1	1	1	C	1	1	712	1	Ⴉ	cut_g_stereo_44KHz.wav
0	18	1	2	0	C	2	1	692	1	Ⴉ	cut_oo_stereo_44KHz.wav
0	19	2	4	0	C	2	1	1031	1	Ⴞ	cut_eeuw_stereo_44KHz.wav
0	20	2	3	1	C	1	1	985	1	Ⴞ	cut_ee_stereo_44KHz.wav
0	21	1	2	0	C	2	1	849	1	Ⴉ	cut_oo_stereo_44KHz.wav
0	22	1	1	1	C	1	1	1087	1	Ⴉ	cut_g_stereo_44KHz.wav
0	23	2	3	1	C	1	1	1186	1	Ⴞ	cut_ee_stereo_44KHz.wav
0	24	2	4	0	C	2	1	1115	1	Ⴞ	cut_eeuw_stereo_44KHz.wav
0	25	2	4	0	C	2	1	813	1	Ⴞ	cut_eeuw_stereo_44KHz.wav
0	26	2	3	1	C	1	1	766	1	Ⴞ	cut_ee_stereo_44KHz.wav
0	27	1	2	0	C	2	1	774	1	Ⴉ	cut_oo_stereo_44KHz.wav
0	28	1	1	1	C	1	1	704	1	Ⴉ	cut_g_stereo_44KHz.wav
0	29	1	1	1	C	1	1	1310	1	Ⴉ	cut_g_stereo_44KHz.wav
0	30	2	3	1	C	1	1	872	1	Ⴞ	cut_ee_stereo_44KHz.wav
avg_resp = 879
1	1	4	4	2	I	1	0	1015	1	Ⴊ	cut_k_stereo_44KHz.wav
1	2	1	1	1	C	2	0	882	0	Ⴃ	cut_a_stereo_44KHz.wav
1	3	3	3	2	I	1	0	808	1	Ⴟ	cut_o_stereo_44KHz.wav
1	4	2	2	1	C	2	0	1012	0	Ⴇ	cut_u_stereo_44KHz.wav
1	5	4	3	2	I	2	0	754	1	Ⴊ	cut_o_stereo_44KHz.wav
1	6	2	1	0	C	2	1	913	1	Ⴇ	cut_a_stereo_44KHz.wav
1	7	3	4	2	I	2	0	902	1	Ⴟ	cut_k_stereo_44KHz.wav
1	8	1	2	0	C	1	0	984	0	Ⴃ	cut_u_stereo_44KHz.wav
1	9	3	4	2	I	2	0	697	0	Ⴟ	cut_k_stereo_44KHz.wav
1	10	4	4	2	I	1	0	1147	1	Ⴊ	cut_k_stereo_44KHz.wav
1	11	2	2	1	C	1	1	1074	1	Ⴇ	cut_u_stereo_44KHz.wav
1	12	1	2	0	C	2	1	798	1	Ⴃ	cut_u_stereo_44KHz.wav
1	13	4	3	2	I	2	0	702	1	Ⴊ	cut_o_stereo_44KHz.wav
1	14	2	1	0	C	2	1	886	1	Ⴇ	cut_a_stereo_44KHz.wav
1	15	3	3	2	I	1	0	837	1	Ⴟ	cut_o_stereo_44KHz.wav
1	16	1	1	1	C	1	1	1119	1	Ⴃ	cut_a_stereo_44KHz.wav
1	17	2	1	0	C	1	0	663	0	Ⴇ	cut_a_stereo_44KHz.wav
1	18	3	3	2	I	1	0	908	0	Ⴟ	cut_o_stereo_44KHz.wav
1	19	1	1	1	C	1	1	1193	1	Ⴃ	cut_a_stereo_44KHz.wav
1	20	4	4	2	I	1	0	976	0	Ⴊ	cut_k_stereo_44KHz.wav
1	21	1	2	0	C	2	1	774	1	Ⴃ	cut_u_stereo_44KHz.wav
1	22	2	2	1	C	1	1	1271	1	Ⴇ	cut_u_stereo_44KHz.wav
1	23	3	4	2	I	2	0	975	1	Ⴟ	cut_k_stereo_44KHz.wav
1	24	4	3	2	I	1	0	1268	1	Ⴊ	cut_o_stereo_44KHz.wav
1	25	3	3	2	I	1	0	898	0	Ⴟ	cut_o_stereo_44KHz.wav
1	26	4	4	2	I	1	0	877	0	Ⴊ	cut_k_stereo_44KHz.wav
1	27	2	2	1	C	1	1	964	1	Ⴇ	cut_u_stereo_44KHz.wav
1	28	1	1	1	C	1	1	1034	1	Ⴃ	cut_a_stereo_44KHz.wav
1	29	3	4	2	I	2	0	938	1	Ⴟ	cut_k_stereo_44KHz.wav
1	30	4	3	2	I	2	0	1020	0	Ⴊ	cut_o_stereo_44KHz.wav
1	31	1	2	0	C	1	0	811	0	Ⴃ	cut_u_stereo_44KHz.wav
1	32	2	1	0	C	2	1	1032	1	Ⴇ	cut_a_stereo_44KHz.wav
1	33	3	3	2	I	2	0	862	0	Ⴟ	cut_o_stereo_44KHz.wav
1	34	4	4	2	I	1	0	1087	1	Ⴊ	cut_k_stereo_44KHz.wav
1	35	2	2	1	C	1	1	1082	1	Ⴇ	cut_u_stereo_44KHz.wav
1	36	1	2	0	C	2	1	788	1	Ⴃ	cut_u_stereo_44KHz.wav
1	37	4	3	2	I	2	0	850	1	Ⴊ	cut_o_stereo_44KHz.wav
1	38	1	1	1	C	1	1	1056	1	Ⴃ	cut_a_stereo_44KHz.wav
1	39	2	1	0	C	2	1	1011	1	Ⴇ	cut_a_stereo_44KHz.wav
1	40	3	4	2	I	2	0	918	1	Ⴟ	cut_k_stereo_44KHz.wav
1	41	4	3	2	I	2	0	781	1	Ⴊ	cut_o_stereo_44KHz.wav
1	42	1	2	0	C	2	1	971	1	Ⴃ	cut_u_stereo_44KHz.wav
1	43	3	3	2	I	1	0	918	1	Ⴟ	cut_o_stereo_44KHz.wav
1	44	2	2	1	C	1	1	1027	1	Ⴇ	cut_u_stereo_44KHz.wav
1	45	4	4	2	I	1	0	1053	0	Ⴊ	cut_k_stereo_44KHz.wav
1	46	3	4	2	I	1	0	1257	1	Ⴟ	cut_k_stereo_44KHz.wav
1	47	1	1	1	C	1	1	955	1	Ⴃ	cut_a_stereo_44KHz.wav
1	48	2	1	0	C	2	1	695	1	Ⴇ	cut_a_stereo_44KHz.wav
1	49	1	2	0	C	2	1	740	1	Ⴃ	cut_u_stereo_44KHz.wav
1	50	2	1	0	C	2	1	898	1	Ⴇ	cut_a_stereo_44KHz.wav
1	51	3	3	2	I	1	0	1059	0	Ⴟ	cut_o_stereo_44KHz.wav
1	52	4	4	2	I	1	0	1374	0	Ⴊ	cut_k_stereo_44KHz.wav
1	53	2	2	1	C	1	1	1038	1	Ⴇ	cut_u_stereo_44KHz.wav
1	54	1	1	1	C	1	1	1372	1	Ⴃ	cut_a_stereo_44KHz.wav
1	55	4	3	2	I	1	0	1122	1	Ⴊ	cut_o_stereo_44KHz.wav
1	56	3	4	2	I	2	0	1385	0	Ⴟ	cut_k_stereo_44KHz.wav
1	57	4	4	2	I	2	0	655	1	Ⴊ	cut_k_stereo_44KHz.wav
1	58	1	1	1	C	1	1	890	1	Ⴃ	cut_a_stereo_44KHz.wav
1	59	3	3	2	I	1	0	1330	0	Ⴟ	cut_o_stereo_44KHz.wav
1	60	2	1	0	C	2	1	733	1	Ⴇ	cut_a_stereo_44KHz.wav
1	61	1	2	0	C	2	1	864	1	Ⴃ	cut_u_stereo_44KHz.wav
1	62	4	3	2	I	2	0	717	0	Ⴊ	cut_o_stereo_44KHz.wav
1	63	2	2	1	C	1	1	1046	1	Ⴇ	cut_u_stereo_44KHz.wav
1	64	3	4	2	I	2	0	1238	0	Ⴟ	cut_k_stereo_44KHz.wav
1	65	4	3	2	I	1	0	928	1	Ⴊ	cut_o_stereo_44KHz.wav
1	66	2	1	0	C	2	1	945	1	Ⴇ	cut_a_stereo_44KHz.wav
1	67	1	2	0	C	2	1	738	1	Ⴃ	cut_u_stereo_44KHz.wav
1	68	3	3	2	I	1	0	1112	1	Ⴟ	cut_o_stereo_44KHz.wav
1	69	4	4	2	I	2	0	1099	0	Ⴊ	cut_k_stereo_44KHz.wav
1	70	3	4	2	I	2	0	819	0	Ⴟ	cut_k_stereo_44KHz.wav
1	71	1	1	1	C	1	1	869	1	Ⴃ	cut_a_stereo_44KHz.wav
1	72	2	2	1	C	1	1	877	1	Ⴇ	cut_u_stereo_44KHz.wav
1	73	3	3	2	I	2	0	989	0	Ⴟ	cut_o_stereo_44KHz.wav
1	74	4	3	2	I	1	0	859	0	Ⴊ	cut_o_stereo_44KHz.wav
1	75	2	1	0	C	2	1	964	1	Ⴇ	cut_a_stereo_44KHz.wav
1	76	1	2	0	C	2	1	1006	1	Ⴃ	cut_u_stereo_44KHz.wav
1	77	3	4	2	I	2	0	783	1	Ⴟ	cut_k_stereo_44KHz.wav
1	78	1	1	1	C	1	1	1133	1	Ⴃ	cut_a_stereo_44KHz.wav
1	79	4	4	2	I	2	0	1156	1	Ⴊ	cut_k_stereo_44KHz.wav
1	80	2	2	1	C	1	1	894	1	Ⴇ	cut_u_stereo_44KHz.wav
1	81	3	4	2	I	2	0	849	0	Ⴟ	cut_k_stereo_44KHz.wav
1	82	4	4	2	I	2	0	838	0	Ⴊ	cut_k_stereo_44KHz.wav
1	83	1	2	0	C	2	1	862	1	Ⴃ	cut_u_stereo_44KHz.wav
1	84	2	1	0	C	2	1	813	1	Ⴇ	cut_a_stereo_44KHz.wav
1	85	4	3	2	I	1	0	1864	0	Ⴊ	cut_o_stereo_44KHz.wav
1	86	3	3	2	I	2	0	1032	0	Ⴟ	cut_o_stereo_44KHz.wav
1	87	1	1	1	C	1	1	754	1	Ⴃ	cut_a_stereo_44KHz.wav
1	88	2	2	1	C	2	0	940	0	Ⴇ	cut_u_stereo_44KHz.wav
1	89	1	1	1	C	1	1	963	1	Ⴃ	cut_a_stereo_44KHz.wav
1	90	2	1	0	C	1	0	918	0	Ⴇ	cut_a_stereo_44KHz.wav
1	91	4	3	2	I	1	0	1046	0	Ⴊ	cut_o_stereo_44KHz.wav
1	92	3	4	2	I	2	0	756	1	Ⴟ	cut_k_stereo_44KHz.wav
1	93	1	2	0	C	2	1	1034	1	Ⴃ	cut_u_stereo_44KHz.wav
1	94	3	3	2	I	1	0	756	1	Ⴟ	cut_o_stereo_44KHz.wav
1	95	4	4	2	I	1	0	1092	0	Ⴊ	cut_k_stereo_44KHz.wav
1	96	2	2	1	C	1	1	1035	1	Ⴇ	cut_u_stereo_44KHz.wav
1	97	3	4	2	I	2	0	1047	0	Ⴟ	cut_k_stereo_44KHz.wav
1	98	2	1	0	C	2	1	1022	1	Ⴇ	cut_a_stereo_44KHz.wav
1	99	1	2	0	C	2	1	865	1	Ⴃ	cut_u_stereo_44KHz.wav
1	100	4	4	2	I	2	0	836	0	Ⴊ	cut_k_stereo_44KHz.wav
1	101	1	1	1	C	1	1	973	1	Ⴃ	cut_a_stereo_44KHz.wav
1	102	2	2	1	C	1	1	1016	1	Ⴇ	cut_u_stereo_44KHz.wav
1	103	4	3	2	I	2	0	850	1	Ⴊ	cut_o_stereo_44KHz.wav
1	104	3	3	2	I	1	0	745	1	Ⴟ	cut_o_stereo_44KHz.wav
1	105	2	1	0	C	2	1	751	1	Ⴇ	cut_a_stereo_44KHz.wav
1	106	1	1	1	C	1	1	775	1	Ⴃ	cut_a_stereo_44KHz.wav
1	107	4	3	2	I	2	0	859	1	Ⴊ	cut_o_stereo_44KHz.wav
1	108	3	3	2	I	1	0	727	0	Ⴟ	cut_o_stereo_44KHz.wav
1	109	1	2	0	C	2	1	960	1	Ⴃ	cut_u_stereo_44KHz.wav
1	110	2	2	1	C	1	1	779	1	Ⴇ	cut_u_stereo_44KHz.wav
1	111	3	4	2	I	2	0	720	1	Ⴟ	cut_k_stereo_44KHz.wav
1	112	4	4	2	I	1	0	745	1	Ⴊ	cut_k_stereo_44KHz.wav
1	113	1	1	1	C	1	1	830	1	Ⴃ	cut_a_stereo_44KHz.wav
1	114	4	3	2	I	2	0	940	0	Ⴊ	cut_o_stereo_44KHz.wav
1	115	3	4	2	I	2	0	857	0	Ⴟ	cut_k_stereo_44KHz.wav
1	116	2	1	0	C	2	1	934	1	Ⴇ	cut_a_stereo_44KHz.wav
1	117	3	3	2	I	1	0	1105	0	Ⴟ	cut_o_stereo_44KHz.wav
1	118	4	4	2	I	2	0	1132	1	Ⴊ	cut_k_stereo_44KHz.wav
1	119	2	2	1	C	1	1	901	1	Ⴇ	cut_u_stereo_44KHz.wav
1	120	1	2	0	C	2	1	1008	1	Ⴃ	cut_u_stereo_44KHz.wav
1	121	2	1	0	C	2	1	795	1	Ⴇ	cut_a_stereo_44KHz.wav
1	122	3	4	2	I	2	0	1160	1	Ⴟ	cut_k_stereo_44KHz.wav
1	123	1	1	1	C	1	1	842	1	Ⴃ	cut_a_stereo_44KHz.wav
1	124	4	4	2	I	2	0	915	1	Ⴊ	cut_k_stereo_44KHz.wav
1	125	1	2	0	C	2	1	696	1	Ⴃ	cut_u_stereo_44KHz.wav
1	126	2	2	1	C	1	1	832	1	Ⴇ	cut_u_stereo_44KHz.wav
1	127	4	3	2	I	2	0	912	1	Ⴊ	cut_o_stereo_44KHz.wav
1	128	3	3	2	I	1	0	701	1	Ⴟ	cut_o_stereo_44KHz.wav
1	129	4	3	2	I	1	0	926	0	Ⴊ	cut_o_stereo_44KHz.wav
1	130	1	2	0	C	2	1	868	1	Ⴃ	cut_u_stereo_44KHz.wav
1	131	2	2	1	C	1	1	790	1	Ⴇ	cut_u_stereo_44KHz.wav
1	132	3	3	2	I	1	0	744	0	Ⴟ	cut_o_stereo_44KHz.wav
1	133	2	1	0	C	2	1	1017	1	Ⴇ	cut_a_stereo_44KHz.wav
1	134	4	4	2	I	2	0	929	1	Ⴊ	cut_k_stereo_44KHz.wav
1	135	3	4	2	I	1	0	986	0	Ⴟ	cut_k_stereo_44KHz.wav
1	136	1	1	1	C	1	1	913	1	Ⴃ	cut_a_stereo_44KHz.wav
1	137	4	3	2	I	2	0	1004	0	Ⴊ	cut_o_stereo_44KHz.wav
1	138	2	2	1	C	1	1	1236	1	Ⴇ	cut_u_stereo_44KHz.wav
1	139	1	2	0	C	2	1	808	1	Ⴃ	cut_u_stereo_44KHz.wav
1	140	3	4	2	I	2	0	1044	1	Ⴟ	cut_k_stereo_44KHz.wav
1	141	1	1	1	C	1	1	1012	1	Ⴃ	cut_a_stereo_44KHz.wav
1	142	3	3	2	I	1	0	1104	1	Ⴟ	cut_o_stereo_44KHz.wav
1	143	2	1	0	C	2	1	961	1	Ⴇ	cut_a_stereo_44KHz.wav
1	144	4	4	2	I	1	0	903	0	Ⴊ	cut_k_stereo_44KHz.wav
1	145	2	2	1	C	1	1	1057	1	Ⴇ	cut_u_stereo_44KHz.wav
1	146	1	2	0	C	2	1	859	1	Ⴃ	cut_u_stereo_44KHz.wav
1	147	4	4	2	I	2	0	1014	1	Ⴊ	cut_k_stereo_44KHz.wav
1	148	3	4	2	I	2	0	856	0	Ⴟ	cut_k_stereo_44KHz.wav
1	149	2	1	0	C	2	1	967	1	Ⴇ	cut_a_stereo_44KHz.wav
1	150	3	3	2	I	2	0	896	1	Ⴟ	cut_o_stereo_44KHz.wav
1	151	4	3	2	I	1	0	1116	0	Ⴊ	cut_o_stereo_44KHz.wav
1	152	1	1	1	C	1	1	1028	1	Ⴃ	cut_a_stereo_44KHz.wav
1	153	3	3	2	I	2	0	819	1	Ⴟ	cut_o_stereo_44KHz.wav
1	154	2	2	1	C	1	1	957	1	Ⴇ	cut_u_stereo_44KHz.wav
1	155	1	1	1	C	1	1	889	1	Ⴃ	cut_a_stereo_44KHz.wav
1	156	4	3	2	I	2	0	932	0	Ⴊ	cut_o_stereo_44KHz.wav
1	157	1	2	0	C	2	1	993	1	Ⴃ	cut_u_stereo_44KHz.wav
1	158	2	1	0	C	2	1	895	1	Ⴇ	cut_a_stereo_44KHz.wav
1	159	3	4	2	I	1	0	1020	1	Ⴟ	cut_k_stereo_44KHz.wav
1	160	4	4	2	I	2	0	815	1	Ⴊ	cut_k_stereo_44KHz.wav
1	161	2	2	1	C	1	1	873	1	Ⴇ	cut_u_stereo_44KHz.wav
1	162	1	2	0	C	2	1	740	1	Ⴃ	cut_u_stereo_44KHz.wav
1	163	3	4	2	I	1	0	868	0	Ⴟ	cut_k_stereo_44KHz.wav
1	164	4	4	2	I	2	0	778	1	Ⴊ	cut_k_stereo_44KHz.wav
1	165	1	1	1	C	1	1	833	1	Ⴃ	cut_a_stereo_44KHz.wav
1	166	3	3	2	I	2	0	937	1	Ⴟ	cut_o_stereo_44KHz.wav
1	167	2	1	0	C	2	1	916	1	Ⴇ	cut_a_stereo_44KHz.wav
1	168	4	3	2	I	2	0	929	1	Ⴊ	cut_o_stereo_44KHz.wav
1	169	2	1	0	C	2	1	737	1	Ⴇ	cut_a_stereo_44KHz.wav
1	170	1	1	1	C	1	1	833	1	Ⴃ	cut_a_stereo_44KHz.wav
1	171	3	3	2	I	2	0	827	0	Ⴟ	cut_o_stereo_44KHz.wav
1	172	4	3	2	I	2	0	772	1	Ⴊ	cut_o_stereo_44KHz.wav
1	173	3	4	2	I	2	0	1299	1	Ⴟ	cut_k_stereo_44KHz.wav
1	174	2	2	1	C	1	1	891	1	Ⴇ	cut_u_stereo_44KHz.wav
1	175	4	4	2	I	2	0	869	0	Ⴊ	cut_k_stereo_44KHz.wav
1	176	1	2	0	C	2	1	1009	1	Ⴃ	cut_u_stereo_44KHz.wav
1	177	4	3	2	I	2	0	896	0	Ⴊ	cut_o_stereo_44KHz.wav
1	178	1	2	0	C	2	1	660	1	Ⴃ	cut_u_stereo_44KHz.wav
1	179	2	1	0	C	1	0	970	0	Ⴇ	cut_a_stereo_44KHz.wav
1	180	3	4	2	I	2	0	875	0	Ⴟ	cut_k_stereo_44KHz.wav
1	181	1	1	1	C	1	1	932	1	Ⴃ	cut_a_stereo_44KHz.wav
1	182	4	4	2	I	2	0	783	0	Ⴊ	cut_k_stereo_44KHz.wav
1	183	2	2	1	C	1	1	869	1	Ⴇ	cut_u_stereo_44KHz.wav
1	184	3	3	2	I	2	0	840	0	Ⴟ	cut_o_stereo_44KHz.wav
1	185	2	1	0	C	2	1	955	1	Ⴇ	cut_a_stereo_44KHz.wav
1	186	1	2	0	C	2	1	860	1	Ⴃ	cut_u_stereo_44KHz.wav
1	187	3	4	2	I	2	0	839	1	Ⴟ	cut_k_stereo_44KHz.wav
1	188	4	4	2	I	2	0	916	1	Ⴊ	cut_k_stereo_44KHz.wav
1	189	2	2	1	C	1	1	886	1	Ⴇ	cut_u_stereo_44KHz.wav
1	190	3	3	2	I	2	0	876	1	Ⴟ	cut_o_stereo_44KHz.wav
1	191	4	3	2	I	2	0	900	0	Ⴊ	cut_o_stereo_44KHz.wav
1	192	1	1	1	C	1	1	846	1	Ⴃ	cut_a_stereo_44KHz.wav
1	193	2	2	1	C	1	1	982	1	Ⴇ	cut_u_stereo_44KHz.wav
1	194	1	1	1	C	1	1	1085	1	Ⴃ	cut_a_stereo_44KHz.wav
1	195	4	3	2	I	2	0	879	0	Ⴊ	cut_o_stereo_44KHz.wav
1	196	3	4	2	I	2	0	784	0	Ⴟ	cut_k_stereo_44KHz.wav
1	197	2	1	0	C	2	1	934	1	Ⴇ	cut_a_stereo_44KHz.wav
1	198	1	2	0	C	2	1	984	1	Ⴃ	cut_u_stereo_44KHz.wav
1	199	3	3	2	I	2	0	776	0	Ⴟ	cut_o_stereo_44KHz.wav
1	200	4	4	2	I	2	0	1337	0	Ⴊ	cut_k_stereo_44KHz.wav
2	1	1	1	1	C	1	1	1219	1	Ⴉ	cut_s_stereo_44KHz.wav
2	2	3	4	2	I	2	0	1015	1	Ⴏ	cut_ei_stereo_44KHz.wav
2	3	4	4	2	I	2	0	939	0	Ⴐ	cut_ei_stereo_44KHz.wav
2	4	2	1	0	C	1	0	924	0	Ⴔ	cut_s_stereo_44KHz.wav
2	5	3	3	2	I	2	0	851	0	Ⴏ	cut_j_stereo_44KHz.wav
2	6	2	2	1	C	2	0	660	0	Ⴔ	cut_oei_stereo_44KHz.wav
2	7	1	2	0	C	2	1	680	1	Ⴉ	cut_oei_stereo_44KHz.wav
2	8	4	3	2	I	2	0	750	0	Ⴐ	cut_j_stereo_44KHz.wav
2	9	1	2	0	C	2	1	857	1	Ⴉ	cut_oei_stereo_44KHz.wav
2	10	3	3	2	I	2	0	983	1	Ⴏ	cut_j_stereo_44KHz.wav
2	11	4	3	2	I	1	0	760	0	Ⴐ	cut_j_stereo_44KHz.wav
2	12	2	2	1	C	2	0	874	0	Ⴔ	cut_oei_stereo_44KHz.wav
2	13	4	4	2	I	1	0	950	1	Ⴐ	cut_ei_stereo_44KHz.wav
2	14	2	1	0	C	2	1	1027	1	Ⴔ	cut_s_stereo_44KHz.wav
2	15	1	1	1	C	1	1	926	1	Ⴉ	cut_s_stereo_44KHz.wav
2	16	3	4	2	I	2	0	856	0	Ⴏ	cut_ei_stereo_44KHz.wav
2	17	4	3	2	I	2	0	627	1	Ⴐ	cut_j_stereo_44KHz.wav
2	18	1	1	1	C	1	1	824	1	Ⴉ	cut_s_stereo_44KHz.wav
2	19	2	2	1	C	2	0	843	0	Ⴔ	cut_oei_stereo_44KHz.wav
2	20	3	4	2	I	2	0	567	0	Ⴏ	cut_ei_stereo_44KHz.wav
2	21	4	4	2	I	1	0	1065	1	Ⴐ	cut_ei_stereo_44KHz.wav
2	22	1	2	0	C	2	1	1035	1	Ⴉ	cut_oei_stereo_44KHz.wav
2	23	2	1	0	C	1	0	640	0	Ⴔ	cut_s_stereo_44KHz.wav
2	24	3	3	2	I	2	0	664	1	Ⴏ	cut_j_stereo_44KHz.wav
2	25	4	3	2	I	2	0	610	0	Ⴐ	cut_j_stereo_44KHz.wav
2	26	1	2	0	C	2	1	584	1	Ⴉ	cut_oei_stereo_44KHz.wav
2	27	2	2	1	C	2	0	392	0	Ⴔ	cut_oei_stereo_44KHz.wav
2	28	3	4	2	I	2	0	481	0	Ⴏ	cut_ei_stereo_44KHz.wav
2	29	1	1	1	C	1	1	851	1	Ⴉ	cut_s_stereo_44KHz.wav
2	30	3	3	2	I	1	0	1136	0	Ⴏ	cut_j_stereo_44KHz.wav
2	31	2	1	0	C	2	1	766	1	Ⴔ	cut_s_stereo_44KHz.wav
2	32	4	4	2	I	1	0	787	0	Ⴐ	cut_ei_stereo_44KHz.wav
2	33	2	2	1	C	2	0	754	0	Ⴔ	cut_oei_stereo_44KHz.wav
2	34	3	4	2	I	1	0	580	1	Ⴏ	cut_ei_stereo_44KHz.wav
2	35	1	2	0	C	2	1	711	1	Ⴉ	cut_oei_stereo_44KHz.wav
2	36	4	3	2	I	1	0	605	1	Ⴐ	cut_j_stereo_44KHz.wav
2	37	3	3	2	I	2	0	689	1	Ⴏ	cut_j_stereo_44KHz.wav
2	38	1	1	1	C	1	1	759	1	Ⴉ	cut_s_stereo_44KHz.wav
2	39	4	4	2	I	2	0	946	1	Ⴐ	cut_ei_stereo_44KHz.wav
2	40	2	1	0	C	1	0	1168	0	Ⴔ	cut_s_stereo_44KHz.wav
2	41	4	4	2	I	2	0	761	1	Ⴐ	cut_ei_stereo_44KHz.wav
2	42	2	2	1	C	1	1	750	1	Ⴔ	cut_oei_stereo_44KHz.wav
2	43	3	3	2	I	2	0	1166	0	Ⴏ	cut_j_stereo_44KHz.wav
2	44	1	2	0	C	2	1	989	1	Ⴉ	cut_oei_stereo_44KHz.wav
2	45	2	1	0	C	2	1	1043	1	Ⴔ	cut_s_stereo_44KHz.wav
2	46	1	1	1	C	1	1	960	1	Ⴉ	cut_s_stereo_44KHz.wav
2	47	4	3	2	I	1	0	1180	0	Ⴐ	cut_j_stereo_44KHz.wav
2	48	3	4	2	I	1	0	973	1	Ⴏ	cut_ei_stereo_44KHz.wav
2	49	2	1	0	C	2	1	937	1	Ⴔ	cut_s_stereo_44KHz.wav
2	50	3	3	2	I	2	0	945	0	Ⴏ	cut_j_stereo_44KHz.wav
2	51	1	1	1	C	1	1	1007	1	Ⴉ	cut_s_stereo_44KHz.wav
2	52	4	4	2	I	2	0	707	1	Ⴐ	cut_ei_stereo_44KHz.wav
2	53	1	2	0	C	1	0	708	0	Ⴉ	cut_oei_stereo_44KHz.wav
2	54	2	2	1	C	1	1	812	1	Ⴔ	cut_oei_stereo_44KHz.wav
2	55	4	3	2	I	2	0	755	0	Ⴐ	cut_j_stereo_44KHz.wav
2	56	3	4	2	I	1	0	941	0	Ⴏ	cut_ei_stereo_44KHz.wav
2	57	1	2	0	C	2	1	1087	1	Ⴉ	cut_oei_stereo_44KHz.wav
2	58	3	4	2	I	1	0	838	1	Ⴏ	cut_ei_stereo_44KHz.wav
2	59	4	3	2	I	2	0	850	1	Ⴐ	cut_j_stereo_44KHz.wav
2	60	2	1	0	C	2	1	488	1	Ⴔ	cut_s_stereo_44KHz.wav
2	61	4	4	2	I	1	0	1141	0	Ⴐ	cut_ei_stereo_44KHz.wav
2	62	2	2	1	C	2	0	933	0	Ⴔ	cut_oei_stereo_44KHz.wav
2	63	3	3	2	I	1	0	882	0	Ⴏ	cut_j_stereo_44KHz.wav
2	64	1	1	1	C	1	1	1080	1	Ⴉ	cut_s_stereo_44KHz.wav
2	65	3	4	2	I	2	0	746	0	Ⴏ	cut_ei_stereo_44KHz.wav
2	66	1	1	1	C	1	1	813	1	Ⴉ	cut_s_stereo_44KHz.wav
2	67	4	3	2	I	2	0	442	0	Ⴐ	cut_j_stereo_44KHz.wav
2	68	2	1	0	C	2	1	1151	1	Ⴔ	cut_s_stereo_44KHz.wav
2	69	1	2	0	C	2	1	850	1	Ⴉ	cut_oei_stereo_44KHz.wav
2	70	2	2	1	C	1	1	1196	1	Ⴔ	cut_oei_stereo_44KHz.wav
2	71	4	4	2	I	2	0	1005	1	Ⴐ	cut_ei_stereo_44KHz.wav
2	72	3	3	2	I	1	0	717	0	Ⴏ	cut_j_stereo_44KHz.wav
2	73	1	2	0	C	2	1	624	1	Ⴉ	cut_oei_stereo_44KHz.wav
2	74	3	4	2	I	2	0	645	0	Ⴏ	cut_ei_stereo_44KHz.wav
2	75	4	3	2	I	2	0	1324	0	Ⴐ	cut_j_stereo_44KHz.wav
2	76	2	1	0	C	2	1	763	1	Ⴔ	cut_s_stereo_44KHz.wav
2	77	3	3	2	I	2	0	893	1	Ⴏ	cut_j_stereo_44KHz.wav
2	78	4	4	2	I	1	0	1094	1	Ⴐ	cut_ei_stereo_44KHz.wav
2	79	1	1	1	C	1	1	1122	1	Ⴉ	cut_s_stereo_44KHz.wav
2	80	2	2	1	C	2	0	984	0	Ⴔ	cut_oei_stereo_44KHz.wav
2	81	1	2	0	C	2	1	821	1	Ⴉ	cut_oei_stereo_44KHz.wav
2	82	4	4	2	I	2	0	1315	1	Ⴐ	cut_ei_stereo_44KHz.wav
2	83	3	4	2	I	1	0	772	0	Ⴏ	cut_ei_stereo_44KHz.wav
