block	trial	Vstim	Astim	match	C/I	resp	result	RT	fb	V-file	A-file
RL

0	1	1	2	0	C	0	0	0	0	Ⴞ	cut_eeuw_stereo_44KHz.wav
0	2	2	3	1	C	2	0	1026	0	Ⴢ	cut_ee_stereo_44KHz.wav
0	3	2	4	0	C	2	1	1040	1	Ⴢ	cut_oo_stereo_44KHz.wav
0	4	1	1	1	C	1	1	771	1	Ⴞ	cut_g_stereo_44KHz.wav
0	5	2	3	1	C	1	1	1227	1	Ⴢ	cut_ee_stereo_44KHz.wav
0	6	2	4	0	C	1	0	1212	0	Ⴢ	cut_oo_stereo_44KHz.wav
0	7	1	2	0	C	2	1	1021	1	Ⴞ	cut_eeuw_stereo_44KHz.wav
0	8	1	1	1	C	1	1	798	1	Ⴞ	cut_g_stereo_44KHz.wav
0	9	2	4	0	C	2	1	921	1	Ⴢ	cut_oo_stereo_44KHz.wav
0	10	1	2	0	C	2	1	715	1	Ⴞ	cut_eeuw_stereo_44KHz.wav
0	11	1	1	1	C	1	1	635	1	Ⴞ	cut_g_stereo_44KHz.wav
0	12	2	3	1	C	1	1	976	1	Ⴢ	cut_ee_stereo_44KHz.wav
0	13	1	2	0	C	2	1	723	1	Ⴞ	cut_eeuw_stereo_44KHz.wav
0	14	2	4	0	C	2	1	594	1	Ⴢ	cut_oo_stereo_44KHz.wav
0	15	1	1	1	C	1	1	788	1	Ⴞ	cut_g_stereo_44KHz.wav
0	16	2	3	1	C	1	1	935	1	Ⴢ	cut_ee_stereo_44KHz.wav
0	17	2	4	0	C	2	1	693	1	Ⴢ	cut_oo_stereo_44KHz.wav
0	18	2	3	1	C	1	1	1053	1	Ⴢ	cut_ee_stereo_44KHz.wav
0	19	1	1	1	C	1	1	869	1	Ⴞ	cut_g_stereo_44KHz.wav
0	20	1	2	0	C	2	1	858	1	Ⴞ	cut_eeuw_stereo_44KHz.wav
0	21	2	4	0	C	2	1	754	1	Ⴢ	cut_oo_stereo_44KHz.wav
0	22	2	3	1	C	1	1	1201	1	Ⴢ	cut_ee_stereo_44KHz.wav
0	23	1	2	0	C	2	1	815	1	Ⴞ	cut_eeuw_stereo_44KHz.wav
0	24	1	1	1	C	1	1	1031	1	Ⴞ	cut_g_stereo_44KHz.wav
0	25	2	4	0	C	2	1	719	1	Ⴢ	cut_oo_stereo_44KHz.wav
0	26	1	2	0	C	1	0	460	0	Ⴞ	cut_eeuw_stereo_44KHz.wav
0	27	2	3	1	C	1	1	1227	1	Ⴢ	cut_ee_stereo_44KHz.wav
0	28	1	1	1	C	1	1	735	1	Ⴞ	cut_g_stereo_44KHz.wav
0	29	1	1	1	C	1	1	923	1	Ⴞ	cut_g_stereo_44KHz.wav
0	30	2	4	0	C	2	1	628	1	Ⴢ	cut_oo_stereo_44KHz.wav
avg_resp = 871
1	1	3	3	2	I	1	0	1297	1	Ⴉ	cut_n_stereo_44KHz.wav
1	2	1	1	1	C	1	1	894	1	Ⴒ	cut_j_stereo_44KHz.wav
1	3	2	1	0	C	2	1	787	1	Ⴏ	cut_j_stereo_44KHz.wav
1	4	4	3	2	I	2	0	1269	0	Ⴌ	cut_n_stereo_44KHz.wav
1	5	2	2	1	C	2	0	915	0	Ⴏ	cut_oei_stereo_44KHz.wav
1	6	1	2	0	C	1	0	1062	0	Ⴒ	cut_oei_stereo_44KHz.wav
1	7	4	4	2	I	2	0	1717	0	Ⴌ	cut_ei_stereo_44KHz.wav
1	8	3	4	2	I	2	0	1519	0	Ⴉ	cut_ei_stereo_44KHz.wav
1	9	4	3	2	I	2	0	1186	0	Ⴌ	cut_n_stereo_44KHz.wav
1	10	1	2	0	C	2	1	1705	1	Ⴒ	cut_oei_stereo_44KHz.wav
1	11	3	3	2	I	2	0	1496	1	Ⴉ	cut_n_stereo_44KHz.wav
1	12	2	2	1	C	2	0	1116	0	Ⴏ	cut_oei_stereo_44KHz.wav
1	13	1	1	1	C	1	1	997	1	Ⴒ	cut_j_stereo_44KHz.wav
1	14	3	4	2	I	1	0	708	1	Ⴉ	cut_ei_stereo_44KHz.wav
1	15	4	4	2	I	2	0	1274	0	Ⴌ	cut_ei_stereo_44KHz.wav
1	16	2	1	0	C	1	0	1048	0	Ⴏ	cut_j_stereo_44KHz.wav
1	17	3	4	2	I	1	0	987	0	Ⴉ	cut_ei_stereo_44KHz.wav
1	18	1	2	0	C	2	1	822	1	Ⴒ	cut_oei_stereo_44KHz.wav
1	19	2	1	0	C	2	1	1514	1	Ⴏ	cut_j_stereo_44KHz.wav
1	20	4	3	2	I	1	0	1061	0	Ⴌ	cut_n_stereo_44KHz.wav
1	21	3	3	2	I	2	0	944	0	Ⴉ	cut_n_stereo_44KHz.wav
1	22	1	1	1	C	0	0	0	0	Ⴒ	cut_j_stereo_44KHz.wav
1	23	2	2	1	C	1	1	1264	1	Ⴏ	cut_oei_stereo_44KHz.wav
1	24	4	4	2	I	1	0	1318	0	Ⴌ	cut_ei_stereo_44KHz.wav
1	25	3	4	2	I	1	0	959	0	Ⴉ	cut_ei_stereo_44KHz.wav
1	26	1	2	0	C	2	1	1536	1	Ⴒ	cut_oei_stereo_44KHz.wav
1	27	4	3	2	I	1	0	1008	1	Ⴌ	cut_n_stereo_44KHz.wav
1	28	2	2	1	C	1	1	1388	1	Ⴏ	cut_oei_stereo_44KHz.wav
1	29	1	1	1	C	1	1	862	1	Ⴒ	cut_j_stereo_44KHz.wav
1	30	2	1	0	C	2	1	871	1	Ⴏ	cut_j_stereo_44KHz.wav
1	31	4	4	2	I	1	0	1533	1	Ⴌ	cut_ei_stereo_44KHz.wav
1	32	3	3	2	I	2	0	931	0	Ⴉ	cut_n_stereo_44KHz.wav
1	33	2	1	0	C	2	1	861	1	Ⴏ	cut_j_stereo_44KHz.wav
1	34	1	2	0	C	2	1	694	1	Ⴒ	cut_oei_stereo_44KHz.wav
1	35	4	3	2	I	1	0	1859	1	Ⴌ	cut_n_stereo_44KHz.wav
1	36	3	3	2	I	1	0	745	1	Ⴉ	cut_n_stereo_44KHz.wav
1	37	2	2	1	C	1	1	993	1	Ⴏ	cut_oei_stereo_44KHz.wav
1	38	4	4	2	I	1	0	1505	0	Ⴌ	cut_ei_stereo_44KHz.wav
1	39	1	1	1	C	1	1	1178	1	Ⴒ	cut_j_stereo_44KHz.wav
1	40	3	4	2	I	1	0	966	0	Ⴉ	cut_ei_stereo_44KHz.wav
1	41	1	2	0	C	2	1	1742	1	Ⴒ	cut_oei_stereo_44KHz.wav
1	42	2	2	1	C	1	1	956	1	Ⴏ	cut_oei_stereo_44KHz.wav
1	43	4	4	2	I	0	0	0	0	Ⴌ	cut_ei_stereo_44KHz.wav
1	44	3	3	2	I	2	0	922	0	Ⴉ	cut_n_stereo_44KHz.wav
1	45	4	3	2	I	2	0	1311	1	Ⴌ	cut_n_stereo_44KHz.wav
1	46	3	4	2	I	1	0	1299	0	Ⴉ	cut_ei_stereo_44KHz.wav
1	47	2	1	0	C	2	1	954	1	Ⴏ	cut_j_stereo_44KHz.wav
1	48	1	1	1	C	1	1	890	1	Ⴒ	cut_j_stereo_44KHz.wav
1	49	4	3	2	I	2	0	901	1	Ⴌ	cut_n_stereo_44KHz.wav
1	50	1	1	1	C	1	1	1086	1	Ⴒ	cut_j_stereo_44KHz.wav
1	51	3	3	2	I	1	0	1620	0	Ⴉ	cut_n_stereo_44KHz.wav
1	52	2	2	1	C	1	1	1174	1	Ⴏ	cut_oei_stereo_44KHz.wav
1	53	3	4	2	I	2	0	1829	1	Ⴉ	cut_ei_stereo_44KHz.wav
1	54	1	2	0	C	2	1	1062	1	Ⴒ	cut_oei_stereo_44KHz.wav
1	55	2	1	0	C	2	1	986	1	Ⴏ	cut_j_stereo_44KHz.wav
1	56	4	4	2	I	2	0	953	1	Ⴌ	cut_ei_stereo_44KHz.wav
1	57	1	2	0	C	2	1	767	1	Ⴒ	cut_oei_stereo_44KHz.wav
1	58	4	3	2	I	2	0	1027	0	Ⴌ	cut_n_stereo_44KHz.wav
1	59	3	3	2	I	2	0	707	0	Ⴉ	cut_n_stereo_44KHz.wav
1	60	2	2	1	C	1	1	1012	1	Ⴏ	cut_oei_stereo_44KHz.wav
1	61	4	4	2	I	1	0	1463	1	Ⴌ	cut_ei_stereo_44KHz.wav
1	62	1	1	1	C	1	1	1035	1	Ⴒ	cut_j_stereo_44KHz.wav
1	63	3	4	2	I	2	0	1385	1	Ⴉ	cut_ei_stereo_44KHz.wav
1	64	2	1	0	C	2	1	869	1	Ⴏ	cut_j_stereo_44KHz.wav
1	65	4	3	2	I	2	0	953	1	Ⴌ	cut_n_stereo_44KHz.wav
1	66	2	1	0	C	2	1	1127	1	Ⴏ	cut_j_stereo_44KHz.wav
1	67	3	3	2	I	1	0	1034	1	Ⴉ	cut_n_stereo_44KHz.wav
1	68	1	1	1	C	1	1	937	1	Ⴒ	cut_j_stereo_44KHz.wav
1	69	4	4	2	I	2	0	1027	1	Ⴌ	cut_ei_stereo_44KHz.wav
1	70	2	2	1	C	1	1	891	1	Ⴏ	cut_oei_stereo_44KHz.wav
1	71	1	2	0	C	2	1	769	1	Ⴒ	cut_oei_stereo_44KHz.wav
1	72	3	4	2	I	1	0	1361	0	Ⴉ	cut_ei_stereo_44KHz.wav
1	73	2	1	0	C	2	1	816	1	Ⴏ	cut_j_stereo_44KHz.wav
1	74	1	2	0	C	2	1	736	1	Ⴒ	cut_oei_stereo_44KHz.wav
1	75	3	3	2	I	1	0	1019	0	Ⴉ	cut_n_stereo_44KHz.wav
1	76	4	3	2	I	1	0	1415	0	Ⴌ	cut_n_stereo_44KHz.wav
1	77	3	4	2	I	2	0	1604	1	Ⴉ	cut_ei_stereo_44KHz.wav
1	78	4	4	2	I	1	0	1234	1	Ⴌ	cut_ei_stereo_44KHz.wav
1	79	2	2	1	C	1	1	1257	1	Ⴏ	cut_oei_stereo_44KHz.wav
1	80	1	1	1	C	1	1	1100	1	Ⴒ	cut_j_stereo_44KHz.wav
1	81	2	2	1	C	1	1	880	1	Ⴏ	cut_oei_stereo_44KHz.wav
1	82	1	1	1	C	1	1	858	1	Ⴒ	cut_j_stereo_44KHz.wav
1	83	3	3	2	I	2	0	1672	0	Ⴉ	cut_n_stereo_44KHz.wav
1	84	4	3	2	I	1	0	1451	0	Ⴌ	cut_n_stereo_44KHz.wav
1	85	2	1	0	C	2	1	1129	1	Ⴏ	cut_j_stereo_44KHz.wav
1	86	1	2	0	C	2	1	569	1	Ⴒ	cut_oei_stereo_44KHz.wav
1	87	3	4	2	I	1	0	903	1	Ⴉ	cut_ei_stereo_44KHz.wav
1	88	4	4	2	I	2	0	1374	1	Ⴌ	cut_ei_stereo_44KHz.wav
1	89	1	1	1	C	1	1	1188	1	Ⴒ	cut_j_stereo_44KHz.wav
1	90	3	3	2	I	2	0	959	1	Ⴉ	cut_n_stereo_44KHz.wav
1	91	2	1	0	C	2	1	789	1	Ⴏ	cut_j_stereo_44KHz.wav
1	92	4	3	2	I	1	0	963	0	Ⴌ	cut_n_stereo_44KHz.wav
1	93	3	4	2	I	2	0	994	0	Ⴉ	cut_ei_stereo_44KHz.wav
1	94	4	4	2	I	2	0	1172	1	Ⴌ	cut_ei_stereo_44KHz.wav
1	95	1	2	0	C	2	1	838	1	Ⴒ	cut_oei_stereo_44KHz.wav
1	96	2	2	1	C	1	1	1028	1	Ⴏ	cut_oei_stereo_44KHz.wav
1	97	1	1	1	C	1	1	1100	1	Ⴒ	cut_j_stereo_44KHz.wav
1	98	2	1	0	C	2	1	760	1	Ⴏ	cut_j_stereo_44KHz.wav
1	99	4	4	2	I	2	0	1258	0	Ⴌ	cut_ei_stereo_44KHz.wav
1	100	3	4	2	I	2	0	912	1	Ⴉ	cut_ei_stereo_44KHz.wav
1	101	1	2	0	C	2	1	658	1	Ⴒ	cut_oei_stereo_44KHz.wav
1	102	3	3	2	I	1	0	991	1	Ⴉ	cut_n_stereo_44KHz.wav
1	103	4	3	2	I	2	0	1191	0	Ⴌ	cut_n_stereo_44KHz.wav
1	104	2	2	1	C	1	1	916	1	Ⴏ	cut_oei_stereo_44KHz.wav
1	105	1	2	0	C	2	1	780	1	Ⴒ	cut_oei_stereo_44KHz.wav
1	106	2	2	1	C	1	1	739	1	Ⴏ	cut_oei_stereo_44KHz.wav
1	107	3	3	2	I	2	0	1340	1	Ⴉ	cut_n_stereo_44KHz.wav
1	108	4	3	2	I	1	0	1089	1	Ⴌ	cut_n_stereo_44KHz.wav
1	109	1	1	1	C	1	1	1008	1	Ⴒ	cut_j_stereo_44KHz.wav
1	110	2	1	0	C	2	1	748	1	Ⴏ	cut_j_stereo_44KHz.wav
1	111	3	4	2	I	2	0	1051	1	Ⴉ	cut_ei_stereo_44KHz.wav
1	112	4	4	2	I	2	0	1681	0	Ⴌ	cut_ei_stereo_44KHz.wav
1	113	3	3	2	I	2	0	1030	1	Ⴉ	cut_n_stereo_44KHz.wav
1	114	2	2	1	C	1	1	878	1	Ⴏ	cut_oei_stereo_44KHz.wav
1	115	4	4	2	I	2	0	1100	0	Ⴌ	cut_ei_stereo_44KHz.wav
1	116	1	1	1	C	1	1	975	1	Ⴒ	cut_j_stereo_44KHz.wav
1	117	3	4	2	I	2	0	811	0	Ⴉ	cut_ei_stereo_44KHz.wav
1	118	2	1	0	C	2	1	762	1	Ⴏ	cut_j_stereo_44KHz.wav
1	119	4	3	2	I	2	0	986	1	Ⴌ	cut_n_stereo_44KHz.wav
1	120	1	2	0	C	2	1	644	1	Ⴒ	cut_oei_stereo_44KHz.wav
1	121	4	4	2	I	1	0	863	1	Ⴌ	cut_ei_stereo_44KHz.wav
1	122	3	4	2	I	2	0	755	1	Ⴉ	cut_ei_stereo_44KHz.wav
1	123	2	2	1	C	1	1	1223	1	Ⴏ	cut_oei_stereo_44KHz.wav
1	124	1	1	1	C	1	1	905	1	Ⴒ	cut_j_stereo_44KHz.wav
1	125	3	3	2	I	1	0	1228	0	Ⴉ	cut_n_stereo_44KHz.wav
1	126	1	2	0	C	2	1	806	1	Ⴒ	cut_oei_stereo_44KHz.wav
1	127	2	1	0	C	2	1	923	1	Ⴏ	cut_j_stereo_44KHz.wav
1	128	4	3	2	I	2	0	1250	0	Ⴌ	cut_n_stereo_44KHz.wav
1	129	3	3	2	I	1	0	854	1	Ⴉ	cut_n_stereo_44KHz.wav
1	130	2	2	1	C	1	1	958	1	Ⴏ	cut_oei_stereo_44KHz.wav
1	131	4	3	2	I	2	0	1042	1	Ⴌ	cut_n_stereo_44KHz.wav
1	132	1	2	0	C	2	1	716	1	Ⴒ	cut_oei_stereo_44KHz.wav
1	133	4	4	2	I	1	0	1340	1	Ⴌ	cut_ei_stereo_44KHz.wav
1	134	3	4	2	I	2	0	838	0	Ⴉ	cut_ei_stereo_44KHz.wav
1	135	2	1	0	C	2	1	668	1	Ⴏ	cut_j_stereo_44KHz.wav
1	136	1	1	1	C	1	1	706	1	Ⴒ	cut_j_stereo_44KHz.wav
1	137	2	1	0	C	2	1	810	1	Ⴏ	cut_j_stereo_44KHz.wav
1	138	3	4	2	I	2	0	1088	1	Ⴉ	cut_ei_stereo_44KHz.wav
1	139	4	4	2	I	1	0	1270	0	Ⴌ	cut_ei_stereo_44KHz.wav
1	140	1	2	0	C	2	1	836	1	Ⴒ	cut_oei_stereo_44KHz.wav
1	141	2	2	1	C	1	1	814	1	Ⴏ	cut_oei_stereo_44KHz.wav
1	142	1	1	1	C	1	1	1837	1	Ⴒ	cut_j_stereo_44KHz.wav
1	143	3	3	2	I	2	0	1297	0	Ⴉ	cut_n_stereo_44KHz.wav
1	144	4	3	2	I	2	0	755	0	Ⴌ	cut_n_stereo_44KHz.wav
1	145	3	4	2	I	2	0	849	1	Ⴉ	cut_ei_stereo_44KHz.wav
1	146	2	1	0	C	2	1	894	1	Ⴏ	cut_j_stereo_44KHz.wav
1	147	1	2	0	C	2	1	663	1	Ⴒ	cut_oei_stereo_44KHz.wav
1	148	4	3	2	I	2	0	950	0	Ⴌ	cut_n_stereo_44KHz.wav
1	149	3	3	2	I	2	0	742	1	Ⴉ	cut_n_stereo_44KHz.wav
1	150	1	1	1	C	1	1	1135	1	Ⴒ	cut_j_stereo_44KHz.wav
1	151	2	2	1	C	1	1	930	1	Ⴏ	cut_oei_stereo_44KHz.wav
1	152	4	4	2	I	0	0	0	0	Ⴌ	cut_ei_stereo_44KHz.wav
1	153	1	1	1	C	1	1	961	1	Ⴒ	cut_j_stereo_44KHz.wav
1	154	2	1	0	C	2	1	648	1	Ⴏ	cut_j_stereo_44KHz.wav
1	155	4	3	2	I	1	0	1554	1	Ⴌ	cut_n_stereo_44KHz.wav
1	156	3	4	2	I	2	0	1095	0	Ⴉ	cut_ei_stereo_44KHz.wav
1	157	4	4	2	I	1	0	1353	0	Ⴌ	cut_ei_stereo_44KHz.wav
1	158	3	3	2	I	2	0	1186	0	Ⴉ	cut_n_stereo_44KHz.wav
1	159	1	2	0	C	2	1	722	1	Ⴒ	cut_oei_stereo_44KHz.wav
1	160	2	2	1	C	1	1	859	1	Ⴏ	cut_oei_stereo_44KHz.wav
1	161	1	2	0	C	2	1	738	1	Ⴒ	cut_oei_stereo_44KHz.wav
1	162	2	1	0	C	2	1	701	1	Ⴏ	cut_j_stereo_44KHz.wav
1	163	3	4	2	I	2	0	1038	1	Ⴉ	cut_ei_stereo_44KHz.wav
1	164	4	3	2	I	2	0	1182	0	Ⴌ	cut_n_stereo_44KHz.wav
1	165	2	2	1	C	1	1	1100	1	Ⴏ	cut_oei_stereo_44KHz.wav
1	166	4	4	2	I	2	0	905	1	Ⴌ	cut_ei_stereo_44KHz.wav
1	167	3	3	2	I	2	0	809	1	Ⴉ	cut_n_stereo_44KHz.wav
1	168	1	1	1	C	1	1	1091	1	Ⴒ	cut_j_stereo_44KHz.wav
1	169	3	4	2	I	2	0	1257	0	Ⴉ	cut_ei_stereo_44KHz.wav
1	170	4	4	2	I	2	0	865	0	Ⴌ	cut_ei_stereo_44KHz.wav
1	171	1	2	0	C	1	0	1007	0	Ⴒ	cut_oei_stereo_44KHz.wav
1	172	2	1	0	C	2	1	699	1	Ⴏ	cut_j_stereo_44KHz.wav
1	173	4	3	2	I	1	0	906	0	Ⴌ	cut_n_stereo_44KHz.wav
1	174	2	2	1	C	1	1	902	1	Ⴏ	cut_oei_stereo_44KHz.wav
1	175	3	3	2	I	1	0	966	0	Ⴉ	cut_n_stereo_44KHz.wav
1	176	1	1	1	C	1	1	787	1	Ⴒ	cut_j_stereo_44KHz.wav
1	177	3	4	2	I	2	0	872	1	Ⴉ	cut_ei_stereo_44KHz.wav
1	178	1	1	1	C	1	1	761	1	Ⴒ	cut_j_stereo_44KHz.wav
1	179	4	4	2	I	1	0	1297	1	Ⴌ	cut_ei_stereo_44KHz.wav
1	180	2	2	1	C	1	1	1005	1	Ⴏ	cut_oei_stereo_44KHz.wav
1	181	4	3	2	I	2	0	713	0	Ⴌ	cut_n_stereo_44KHz.wav
1	182	1	2	0	C	2	1	1003	1	Ⴒ	cut_oei_stereo_44KHz.wav
1	183	2	1	0	C	2	1	699	1	Ⴏ	cut_j_stereo_44KHz.wav
1	184	3	3	2	I	1	0	1159	0	Ⴉ	cut_n_stereo_44KHz.wav
1	185	4	3	2	I	2	0	717	1	Ⴌ	cut_n_stereo_44KHz.wav
1	186	2	2	1	C	1	1	890	1	Ⴏ	cut_oei_stereo_44KHz.wav
1	187	3	4	2	I	2	0	826	1	Ⴉ	cut_ei_stereo_44KHz.wav
1	188	1	2	0	C	2	1	890	1	Ⴒ	cut_oei_stereo_44KHz.wav
1	189	4	4	2	I	1	0	944	0	Ⴌ	cut_ei_stereo_44KHz.wav
1	190	3	3	2	I	2	0	1081	0	Ⴉ	cut_n_stereo_44KHz.wav
1	191	2	1	0	C	2	1	605	1	Ⴏ	cut_j_stereo_44KHz.wav
1	192	1	1	1	C	1	1	784	1	Ⴒ	cut_j_stereo_44KHz.wav
1	193	4	3	2	I	2	0	1017	1	Ⴌ	cut_n_stereo_44KHz.wav
1	194	1	1	1	C	1	1	786	1	Ⴒ	cut_j_stereo_44KHz.wav
1	195	2	1	0	C	2	1	711	1	Ⴏ	cut_j_stereo_44KHz.wav
1	196	3	4	2	I	1	0	693	0	Ⴉ	cut_ei_stereo_44KHz.wav
1	197	2	2	1	C	1	1	772	1	Ⴏ	cut_oei_stereo_44KHz.wav
1	198	3	3	2	I	2	0	832	1	Ⴉ	cut_n_stereo_44KHz.wav
1	199	4	4	2	I	2	0	847	1	Ⴌ	cut_ei_stereo_44KHz.wav
1	200	1	2	0	C	2	1	804	1	Ⴒ	cut_oei_stereo_44KHz.wav
2	1	2	1	0	C	2	1	1462	1	Ⴡ	cut_h_stereo_44KHz.wav
2	2	3	3	2	I	1	0	1148	1	Ⴊ	cut_l_stereo_44KHz.wav
2	3	1	2	0	C	1	0	1150	0	Ⴜ	cut_w_stereo_44KHz.wav
2	4	4	3	2	I	1	0	1340	1	Ⴃ	cut_l_stereo_44KHz.wav
2	5	3	4	2	I	1	0	1488	1	Ⴊ	cut_g_stereo_44KHz.wav
2	6	2	2	1	C	1	1	1148	1	Ⴡ	cut_w_stereo_44KHz.wav
2	7	1	1	1	C	1	1	1518	1	Ⴜ	cut_h_stereo_44KHz.wav
2	8	4	4	2	I	2	0	1842	1	Ⴃ	cut_g_stereo_44KHz.wav
2	9	1	2	0	C	2	1	1404	1	Ⴜ	cut_w_stereo_44KHz.wav
2	10	2	2	1	C	1	1	1168	1	Ⴡ	cut_w_stereo_44KHz.wav
2	11	3	4	2	I	1	0	1215	0	Ⴊ	cut_g_stereo_44KHz.wav
2	12	4	4	2	I	2	0	1448	1	Ⴃ	cut_g_stereo_44KHz.wav
2	13	3	3	2	I	1	0	1525	1	Ⴊ	cut_l_stereo_44KHz.wav
2	14	2	1	0	C	2	1	1049	1	Ⴡ	cut_h_stereo_44KHz.wav
2	15	4	3	2	I	2	0	1423	0	Ⴃ	cut_l_stereo_44KHz.wav
2	16	1	1	1	C	1	1	1485	1	Ⴜ	cut_h_stereo_44KHz.wav
2	17	2	1	0	C	2	1	743	1	Ⴡ	cut_h_stereo_44KHz.wav
2	18	3	3	2	I	1	0	1461	0	Ⴊ	cut_l_stereo_44KHz.wav
2	19	1	1	1	C	1	1	1052	1	Ⴜ	cut_h_stereo_44KHz.wav
2	20	4	4	2	I	2	0	1368	1	Ⴃ	cut_g_stereo_44KHz.wav
2	21	3	4	2	I	2	0	759	0	Ⴊ	cut_g_stereo_44KHz.wav
2	22	4	3	2	I	1	0	1888	0	Ⴃ	cut_l_stereo_44KHz.wav
2	23	2	2	1	C	0	0	0	0	Ⴡ	cut_w_stereo_44KHz.wav
2	24	1	2	0	C	2	1	1283	1	Ⴜ	cut_w_stereo_44KHz.wav
2	25	3	4	2	I	2	0	1160	0	Ⴊ	cut_g_stereo_44KHz.wav
2	26	1	1	1	C	1	1	1210	1	Ⴜ	cut_h_stereo_44KHz.wav
2	27	4	4	2	I	2	0	999	0	Ⴃ	cut_g_stereo_44KHz.wav
2	28	2	1	0	C	2	1	1087	1	Ⴡ	cut_h_stereo_44KHz.wav
2	29	3	3	2	I	2	0	1273	0	Ⴊ	cut_l_stereo_44KHz.wav
2	30	1	2	0	C	2	1	1296	1	Ⴜ	cut_w_stereo_44KHz.wav
