"subjID","block","trial","vStim1","vStim2","aStim","resp","RT","fb","vStimNassoc","stimOnset","respOnset","feedbackOnset","pe","deltas","drift","assoc_active","assoc_inactive"
"biokurs19-11",1,1,1,2,2,1,1.431,0,1,16562,17993,20853,-0.5,0.337306083581567,0.22755078804227,0.5,0.5
"biokurs19-11",1,2,4,5,5,2,1.159,1,4,34161,35320,38357,0.5,0.337306083581567,0.22755078804227,0.5,0.5
"biokurs19-11",1,3,1,6,1,1,1.719,1,6,52560,54279,56933,0.465,0.349111796506922,0.23551506562375,0.535,0.5
"biokurs19-11",1,4,4,3,4,2,1.341,0,3,62014,63355,65919,-0.535,0.349111796506922,0.23551506562375,0.535,0.5
"biokurs19-11",1,5,7,2,2,2,1.353,1,7,71503,72856,75339,0.465,0.349111796506922,0.23551506562375,0.535,0.5
"biokurs19-11",1,6,5,8,5,1,1.365,1,8,80578,81943,83964,0.465,0.349111796506922,0.23551506562375,0.535,0.5
"biokurs19-11",1,7,6,3,3,1,1.025,0,6,89908,90933,93285,-0.535,0.360917509432277,0.243479343205229,0.535,0.535
"biokurs19-11",1,8,6,2,2,2,1.145,1,6,98072,99217,102769,0.43245,0.382876135473437,0.258292899506781,0.56755,0.56755
"biokurs19-11",1,9,3,5,3,2,1.163,0,5,108877,110040,112636,-0.57245,0.384528935282986,0.259407898368188,0.57245,0.56755
"biokurs19-11",1,10,1,8,1,1,1.115,1,8,117817,118932,120970,0.43245,0.371896822452857,0.250886121356005,0.56755,0.535
"biokurs19-11",1,11,3,4,3,1,1.89,1,4,125279,127169,128523,0.3874785,0.399698095820775,0.269641198632631,0.6125215,0.57245
"biokurs19-11",1,12,4,6,4,1,1.777,1,6,133422,135199,137453,0.3874785,0.411445960752795,0.277566451253961,0.6125215,0.6072785
"biokurs19-11",1,13,4,2,2,2,1.497,1,4,142516,144013,146843,0.4021785,0.417404976991859,0.281586476113156,0.5978215,0.639644995
"biokurs19-11",1,14,5,4,4,2,1.674,1,5,151912,153586,155859,0.31557985535,0.432507907362079,0.291775096700724,0.68442014465,0.5978215
"biokurs19-11",1,15,5,3,3,1,1.41,0,5,169063,170473,172670,-0.639644995,0.431520395011069,0.291108908853509,0.639644995,0.639669005
"biokurs19-11",1,16,3,5,5,1,1.489,0,3,177564,179053,181018,-0.66489217465,0.455131253951444,0.307037081571858,0.66489217465,0.68442014465
"biokurs19-11",1,17,6,1,1,2,1.264,1,6,184921,186185,188450,0.4021785,0.420826272597627,0.283894523756269,0.5978215,0.649787995
"biokurs19-11",1,18,4,7,4,2,1.064,0,7,193528,194592,197188,-0.7065107345245,0.418769123586934,0.282506746003988,0.7065107345245,0.535
"biokurs19-11",1,19,3,8,3,2,1.09,0,8,202581,203671,206951,-0.7065107345245,0.431401236417063,0.29102852301617,0.7065107345245,0.57245
"biokurs19-11",1,20,1,5,1,2,0.942,0,5,212131,213073,216140,-0.625973995,0.451116064393046,0.304328385842297,0.625973995,0.7114346268755
"biokurs19-11",1,21,2,3,2,1,0.997,1,3,220856,221853,223867,0.374026005,0.466136931369108,0.314461645465687,0.625973995,0.755966485941215
"biokurs19-11",1,22,5,2,5,2,1.137,0,2,228166,229303,232205,-0.731634202994215,0.466760791586952,0.314882509159254,0.731634202994215,0.65215581535
"biokurs19-11",1,23,8,2,2,1,0.965,0,8,236628,237593,240488,-0.6765049082755,0.431375153802855,0.291010927367274,0.6765049082755,0.6023785
"biokurs19-11",1,24,3,1,1,1,0.75,0,3,244611,245361,248238,-0.66979217465,0.498766516564946,0.336473960648285,0.66979217465,0.8088841399571
"biokurs19-11",1,25,6,5,5,2,1.428,1,6,252017,253445,256202,0.21715140279619,0.498579459174533,0.336347769456755,0.78284859720381,0.69527315465
"biokurs19-11",1,26,1,3,1,1,1.067,1,3,261312,262379,265590,0.2833223731245,0.519093782790378,0.350186981769126,0.7166776268755,0.822262250160103
"biokurs19-11",1,27,4,2,4,1,1.712,1,2,271405,273117,275287,0.244033514058785,0.499154561305255,0.336735740351502,0.755966485941215,0.723860251854785
"biokurs19-11",1,28,5,7,5,1,1.098,1,7,280169,281267,284676,0.201950804600457,0.460624916342359,0.310743173063056,0.798049195399543,0.56755
"biokurs19-11",1,29,6,4,4,2,1.774,1,6,289707,291481,293610,0.22695116807467,0.511690329265438,0.345192521942175,0.77304883192533,0.7439422754755
"biokurs19-11",1,30,2,8,2,1,1.228,1,8,297827,299055,302374,0.22546953051538,0.473828182509086,0.319650257065423,0.77453046948462,0.630212005
"biokurs19-11",1,31,8,4,4,2,1.285,1,8,307840,309125,311846,0.211064586309443,0.493567261849687,0.332966480157191,0.788935413690557,0.67432684535
"biokurs19-11",1,32,5,6,5,1,1.261,1,6,316158,317419,320881,0.187814248278425,0.542456988279954,0.365948084456327,0.812185751721575,0.796018234758785
"biokurs19-11",1,33,1,3,3,1,1.164,0,1,325422,326586,329597,-0.87982060767131,0.545198212144747,0.367797347428434,0.87982060767131,0.736510192994215
"biokurs19-11",1,34,1,2,1,1,1.84,1,2,334489,336329,338148,0.24504552051538,0.521228235135125,0.351626909291122,0.75495447948462,0.790313336620697
"biokurs19-11",1,35,3,6,3,2,1.23,0,6,342889,344119,346901,-0.941408050208302,0.60483958121974,0.408032140672691,0.941408050208302,0.8517395111919
"biokurs19-11",1,36,2,4,4,2,1.143,1,2,352197,353340,356793,0.196290065267782,0.556334171544376,0.375309801132458,0.803709934732218,0.845635270184146
"biokurs19-11",2,37,13,16,13,1,1.812,1,16,8626,10438,13156,0.5,0.337306083581567,0.22755078804227,0.5,0.5
"biokurs19-11",2,38,15,12,12,2,1.69,1,15,19261,20951,23646,0.5,0.337306083581567,0.22755078804227,0.5,0.5
"biokurs19-11",2,39,10,16,10,1,1.205,1,16,28068,29273,32627,0.5,0.349111796506922,0.23551506562375,0.5,0.535
"biokurs19-11",2,40,16,9,9,1,1.81,0,16,38435,40245,42449,-0.5,0.361743909337051,0.244036842635932,0.5,0.57245
"biokurs19-11",2,41,10,14,10,1,1.376,1,14,46747,48123,50380,0.465,0.349111796506922,0.23551506562375,0.535,0.5
"biokurs19-11",2,42,11,13,13,2,1.734,1,11,54300,56034,57906,0.465,0.349111796506922,0.23551506562375,0.535,0.5
"biokurs19-11",2,43,14,12,12,1,1.707,0,14,62985,64692,67687,-0.535,0.360917509432277,0.243479343205229,0.535,0.535
"biokurs19-11",2,44,11,9,9,2,1.505,1,11,72788,74293,76036,0.465,0.360917509432277,0.243479343205229,0.535,0.535
"biokurs19-11",2,45,15,11,11,1,1.856,0,15,81104,82960,85161,-0.57245,0.373549622262406,0.252001120217412,0.57245,0.535
"biokurs19-11",2,46,10,11,10,1,1.431,1,11,90044,91475,93712,0.43245,0.398045296011225,0.268526199771224,0.56755,0.6125215
"biokurs19-11",2,47,11,12,12,2,1.311,1,11,98340,99651,101352,0.42755,0.41416060179999,0.279397781133879,0.57245,0.655398005
"biokurs19-11",2,48,11,16,11,1,1.435,1,16,106648,108083,110020,0.29872413465,0.439730548320222,0.296647578170138,0.70127586535,0.6023785
"biokurs19-11",2,49,15,9,9,2,1.331,1,15,114309,115640,118836,0.43245,0.382876135473437,0.258292899506781,0.56755,0.56755
"biokurs19-11",2,50,13,9,13,1,1.826,1,9,123538,125364,127420,0.43245,0.393086896582576,0.265181203187002,0.56755,0.5978215
"biokurs19-11",2,51,10,15,10,1,1.38,1,15,132160,133540,136490,0.4021785,0.406487561324146,0.274221454669739,0.5978215,0.6072785
"biokurs19-11",2,52,9,15,9,1,1.334,1,15,141668,143002,145030,0.360330995,0.434941690616837,0.293416956496622,0.639669005,0.649787995
"biokurs19-11",2,53,11,9,11,1,1.883,1,9,150108,151991,153750,0.2778134452245,0.467870093841811,0.315630857957443,0.7221865547755,0.66489217465
"biokurs19-11",2,54,13,14,13,2,1.941,0,14,158285,160226,162052,-0.5978215,0.393086896582576,0.265181203187002,0.5978215,0.56755
"biokurs19-11",2,55,12,15,12,1,1.109,1,15,167061,168170,170953,0.3976215,0.437705797483132,0.295281656619964,0.6023785,0.69527315465
"biokurs19-11",2,56,11,10,10,2,1.2,1,11,175851,177051,180119,0.374026005,0.461302326646195,0.311200162296186,0.625973995,0.741633495941215
"biokurs19-11",2,57,12,16,12,1,0.862,1,16,184449,185311,188731,0.369787995,0.429983291188188,0.2900719599124,0.630212005,0.644544995
"biokurs19-11",2,58,9,14,9,1,1.727,1,14,193199,194926,196359,0.2885653731245,0.441620056561546,0.29792226341969,0.7114346268755,0.5978215
"biokurs19-11",2,59,12,13,13,1,1.51,0,12,200480,201990,204330,-0.639669005,0.43706981192213,0.294852613022371,0.639669005,0.65609716465
"biokurs19-11",2,60,13,9,9,2,1.517,1,13,209221,210738,213204,0.268365797005785,0.477652411771922,0.322230128656154,0.731634202994215,0.68444583535
