,LSB_C_corrStay_B1,LSB_C_corrStay_B2,LSB_C_corrStay_B3,LSB_C_corrStay_B4,LSB_C_corrShift_B1,LSB_C_corrShift_B2,LSB_C_corrShift_B3,LSB_C_corrShift_B4,LSB_C_incorrStay_B1,LSB_C_incorrStay_B2,LSB_C_incorrStay_B3,LSB_C_incorrStay_B4,LSB_C_incorrShift_B1,LSB_C_incorrShift_B2,LSB_C_incorrShift_B3,LSB_C_incorrShift_B4,LSB_I_corrStay_B1,LSB_I_corrStay_B2,LSB_I_corrStay_B3,LSB_I_corrStay_B4,LSB_I_corrShift_B1,LSB_I_corrShift_B2,LSB_I_corrShift_B3,LSB_I_corrShift_B4,LSB_I_incorrStay_B1,LSB_I_incorrStay_B2,LSB_I_incorrStay_B3,LSB_I_incorrStay_B4,LSB_I_incorrShift_B1,LSB_I_incorrShift_B2,LSB_I_incorrShift_B3,LSB_I_incorrShift_B4,,BIRD_C_corrStay_B1,BIRD_C_corrStay_B2,BIRD_C_corrStay_B3,BIRD_C_corrStay_B4,BIRD_C_corrShift_B1,BIRD_C_corrShift_B2,BIRD_C_corrShift_B3,BIRD_C_corrShift_B4,BIRD_C_incorrStay_B1,BIRD_C_incorrStay_B2,BIRD_C_incorrStay_B3,BIRD_C_incorrStay_B4,BIRD_C_incorrShift_B1,BIRD_C_incorrShift_B2,BIRD_C_incorrShift_B3,BIRD_C_incorrShift_B4,BIRD_I_corrStay_B1,BIRD_I_corrStay_B2,BIRD_I_corrStay_B3,BIRD_I_corrStay_B4,BIRD_I_corrShift_B1,BIRD_I_corrShift_B2,BIRD_I_corrShift_B3,BIRD_I_corrShift_B4,BIRD_I_incorrStay_B1,BIRD_I_incorrStay_B2,BIRD_I_incorrStay_B3,BIRD_I_incorrStay_B4,BIRD_I_incorrShift_B1,BIRD_I_incorrShift_B2,BIRD_I_incorrShift_B3,BIRD_I_incorrShift_B4
s012,0.708333333,0.34375,0.604166667,0.3125,0.114583333,0.197916667,0.104166667,0.229166667,0.0625,0.260416667,0.197916667,0.239583333,0.114583333,0.197916667,0.09375,0.21875,0.34375,0.40625,0.322916667,0.395833333,0.239583333,0.145833333,0.197916667,0.166666667,0.270833333,0.354166667,0.291666667,0.34375,0.145833333,0.09375,0.1875,0.09375,s012,0.447916667,0.25,0.3125,0.572916667,0.229166667,0.260416667,0.229166667,0.135416667,0.09375,0.229166667,0.229166667,0.177083333,0.229166667,0.260416667,0.229166667,0.114583333,0.416666667,0.322916667,0.28125,0.34375,0.166666667,0.260416667,0.229166667,0.229166667,0.322916667,0.239583333,0.28125,0.260416667,0.09375,0.177083333,0.208333333,0.166666667
s013,0.291666667,0.770833333,0.875,0.854166667,0.229166667,0.09375,0.0625,0.072916667,0.25,0.010416667,0.010416667,0.020833333,0.21875,0.104166667,0.052083333,0.052083333,0.270833333,0.364583333,0.354166667,0.333333333,0.229166667,0.1875,0.197916667,0.260416667,0.28125,0.3125,0.28125,0.25,0.21875,0.135416667,0.166666667,0.15625,s013,0.4375,0.677083333,0.302083333,0.395833333,0.208333333,0.15625,0.270833333,0.1875,0.145833333,0.041666667,0.15625,0.21875,0.208333333,0.125,0.270833333,0.1875,0.354166667,0.354166667,0.260416667,0.333333333,0.229166667,0.208333333,0.135416667,0.197916667,0.28125,0.3125,0.354166667,0.3125,0.135416667,0.125,0.239583333,0.145833333
s014,0.375,0.1875,0.229166667,0.302083333,0.197916667,0.260416667,0.28125,0.229166667,0.229166667,0.3125,0.177083333,0.239583333,0.197916667,0.239583333,0.302083333,0.21875,0.302083333,0.260416667,0.291666667,0.239583333,0.21875,0.208333333,0.260416667,0.302083333,0.291666667,0.270833333,0.229166667,0.1875,0.1875,0.260416667,0.208333333,0.270833333,s014,0.177083333,0.25,0.239583333,0.208333333,0.28125,0.229166667,0.270833333,0.229166667,0.270833333,0.291666667,0.208333333,0.34375,0.270833333,0.21875,0.28125,0.21875,0.333333333,0.21875,0.270833333,0.25,0.208333333,0.21875,0.28125,0.21875,0.302083333,0.28125,0.208333333,0.291666667,0.15625,0.28125,0.239583333,0.239583333
s015,0.572916667,0.71875,0.395833333,0.447916667,0.1875,0.114583333,0.197916667,0.1875,0.0625,0.0625,0.197916667,0.177083333,0.177083333,0.104166667,0.208333333,0.1875,0.322916667,0.28125,0.322916667,0.333333333,0.197916667,0.322916667,0.260416667,0.177083333,0.302083333,0.197916667,0.239583333,0.322916667,0.177083333,0.197916667,0.177083333,0.166666667,s015,0.75,0.614583333,0.270833333,0.71875,0.104166667,0.15625,0.239583333,0.09375,0.041666667,0.09375,0.239583333,0.083333333,0.104166667,0.135416667,0.25,0.09375,0.291666667,0.385416667,0.239583333,0.270833333,0.28125,0.208333333,0.1875,0.197916667,0.21875,0.291666667,0.322916667,0.291666667,0.208333333,0.104166667,0.25,0.239583333
s016,0.552083333,0.291666667,0.604166667,0.697916667,0.15625,0.260416667,0.15625,0.020833333,0.072916667,0.166666667,0.09375,0.25,0.177083333,0.229166667,0.145833333,0.03125,0.270833333,0.302083333,0.229166667,0.395833333,0.177083333,0.260416667,0.25,0.125,0.291666667,0.229166667,0.25,0.364583333,0.239583333,0.177083333,0.270833333,0.104166667,s016,0.822916667,0.739583333,0.875,0.8125,0.083333333,0.09375,0.052083333,0.09375,0.020833333,0.03125,0,0,0.072916667,0.114583333,0.0625,0.083333333,0.322916667,0.322916667,0.34375,0.239583333,0.21875,0.197916667,0.135416667,0.145833333,0.28125,0.291666667,0.364583333,0.34375,0.135416667,0.166666667,0.15625,0.25
s017,0.90625,0.979166667,0.84375,0.739583333,0.041666667,0.010416667,0.072916667,0.104166667,0,0,0.010416667,0.0625,0.052083333,0.010416667,0.072916667,0.09375,0.354166667,0.3125,0.1875,0.28125,0.260416667,0.197916667,0.260416667,0.208333333,0.239583333,0.3125,0.239583333,0.291666667,0.135416667,0.177083333,0.302083333,0.208333333,s017,0.78125,0.6875,0.5625,0.25,0.114583333,0.104166667,0.197916667,0.291666667,0.020833333,0.125,0.072916667,0.177083333,0.083333333,0.083333333,0.166666667,0.28125,0.333333333,0.260416667,0.3125,0.322916667,0.1875,0.21875,0.177083333,0.291666667,0.3125,0.291666667,0.322916667,0.229166667,0.15625,0.229166667,0.1875,0.15625
s018,0.614583333,0.833333333,0.510416667,0.802083333,0.15625,0.0625,0.197916667,0.09375,0.072916667,0.041666667,0.114583333,0.03125,0.145833333,0.0625,0.177083333,0.072916667,0.28125,0.322916667,0.28125,0.302083333,0.270833333,0.21875,0.21875,0.270833333,0.229166667,0.302083333,0.28125,0.229166667,0.208333333,0.15625,0.197916667,0.197916667,s018,0.84375,0.75,0.270833333,0.583333333,0.072916667,0.104166667,0.25,0.15625,0.03125,0.03125,0.21875,0.114583333,0.052083333,0.104166667,0.25,0.145833333,0.25,0.385416667,0.322916667,0.291666667,0.25,0.125,0.229166667,0.1875,0.260416667,0.364583333,0.25,0.291666667,0.239583333,0.114583333,0.1875,0.229166667
s019,0.479166667,0.75,0.59375,0.604166667,0.208333333,0.104166667,0.1875,0.114583333,0.09375,0.052083333,0.041666667,0.15625,0.197916667,0.09375,0.145833333,0.114583333,0.447916667,0.416666667,0.489583333,0.489583333,0.083333333,0.083333333,0,0.020833333,0.395833333,0.416666667,0.5,0.489583333,0.0625,0.083333333,0.010416667,0,s019,0.40625,0.3125,0.375,0.302083333,0.114583333,0.125,0.135416667,0.145833333,0.364583333,0.40625,0.333333333,0.40625,0.114583333,0.135416667,0.145833333,0.135416667,0.333333333,0.354166667,0.3125,0.333333333,0.104166667,0.145833333,0.208333333,0.03125,0.375,0.354166667,0.291666667,0.489583333,0.1875,0.135416667,0.166666667,0.145833333
s020,0.916666667,0.947916667,0.927083333,0.791666667,0.03125,0.03125,0.041666667,0.104166667,0.03125,0,0.010416667,0,0.010416667,0.020833333,0.020833333,0.09375,0.385416667,0.291666667,0.375,0.395833333,0.239583333,0.25,0.1875,0.166666667,0.229166667,0.239583333,0.291666667,0.333333333,0.135416667,0.197916667,0.135416667,0.104166667,s020,0.958333333,0.3125,0.3125,0.8125,0.020833333,0.177083333,0.166666667,0.09375,0,0.322916667,0.354166667,0.010416667,0.020833333,0.177083333,0.166666667,0.083333333,0.364583333,0.354166667,0.270833333,0.395833333,0.197916667,0.125,0.229166667,0.114583333,0.322916667,0.385416667,0.260416667,0.375,0.114583333,0.125,0.239583333,0.104166667
s021,0.78125,0.635416667,0.729166667,0.635416667,0.083333333,0.09375,0.114583333,0.114583333,0,0.083333333,0.020833333,0.041666667,0.114583333,0.135416667,0.114583333,0.145833333,0.3125,0.270833333,0.375,0.302083333,0.239583333,0.21875,0.322916667,0.28125,0.270833333,0.25,0.166666667,0.197916667,0.145833333,0.208333333,0.125,0.1875,s021,0.489583333,0.791666667,0.708333333,0.510416667,0.09375,0.09375,0.114583333,0.125,0.239583333,0.03125,0.052083333,0.229166667,0.135416667,0.083333333,0.104166667,0.125,0.364583333,0.364583333,0.375,0.4375,0.21875,0.15625,0.21875,0.114583333,0.239583333,0.354166667,0.28125,0.375,0.145833333,0.114583333,0.09375,0.052083333
